Kategorie;Teilnehmer 0;Teilnehmer 1;Teilnehmer 2;Teilnehmer 3;Teilnehmer 4;Teilnehmer 5;Teilnehmer 6;Teilnehmer 7;Teilnehmer 8;Teilnehmer 9;Teilnehmer 10;Teilnehmer 11;Teilnehmer 12;Teilnehmer 13;Teilnehmer 14;Teilnehmer 15;Teilnehmer 16;Teilnehmer 17;Teilnehmer 18;Teilnehmer 19
Anzahl angeschauter Bilder (1);1;8;2;8;13;30;15;10;2;3;8;99;35;3;5;5;29;4;33;10
Anzahl Navigationen (1);0;14;2;9;13;58;23;15;4;3;8;187;35;3;5;5;32;4;63;10
Fixationen pro Bild (1);27.00 / 474ms;0.00 / 0ms;3.50 / 368ms;2.38 / 440ms;2.38 / 410ms;0.00 / 0ms;3.73 / 491ms;3.10 / 473ms;19.50 / 450ms;6.00 / 447ms;1.50 / 437ms;0.64 / 470ms;2.31 / 397ms;5.33 / 471ms;1.80 / 529ms;4.80 / 452ms;2.62 / 501ms;4.50 / 509ms;2.61 / 448ms;4.90 / 446ms
Durchschnittliche Verweildauer (1);12785ms;0ms;1287ms;1044ms;977ms;0ms;1833ms;1465ms;8781ms;2683ms;656ms;299ms;918ms;2514ms;953ms;2170ms;1312ms;2292ms;1167ms;2186ms
Anzahl angeschauter Bilder (4);4;20;5;5;15;18;56;5;5;4;4;84;64;28;44;5;5;94;83;5
Anzahl Navigationen (4);1;10;0;0;7;9;17;0;0;0;0;35;15;10;14;0;0;50;44;0
Fixationen pro Bild (4);6.50 / 485ms;3.20 / 489ms;0.40 / 455ms;3.00 / 421ms;1.80 / 422ms;0.89 / 352ms;0.93 / 453ms;6.40 / 392ms;4.20 / 363ms;4.00 / 388ms;1.25 / 374ms;0.23 / 428ms;1.09 / 401ms;1.21 / 466ms;0.73 / 422ms;2.00 / 521ms;3.40 / 351ms;0.85 / 443ms;1.11 / 458ms;1.40 / 427ms
Durchschnittliche Verweildauer (4);3154ms;1565ms;182ms;1264ms;760ms;313ms;420ms;2508ms;1525ms;1552ms;468ms;97ms;439ms;566ms;307ms;1042ms;1195ms;377ms;508ms;597ms
Anzahl angeschauter Bilder (20);11;42;11;8;27;37;61;17;18;19;13;72;28;54;45;16;16;34;17;16
Anzahl Navigationen (20);0;4;0;0;2;9;7;0;0;0;0;9;1;3;3;0;1;2;0;0
Fixationen pro Bild (20);1.00 / 478ms;1.36 / 479ms;0.73 / 418ms;3.62 / 437ms;0.78 / 422ms;0.89 / 391ms;1.11 / 463ms;2.59 / 470ms;1.39 / 384ms;1.16 / 493ms;0.92 / 426ms;0.06 / 390ms;1.39 / 409ms;0.80 / 439ms;1.73 / 458ms;1.19 / 398ms;1.62 / 394ms;0.76 / 405ms;2.00 / 459ms;1.12 / 440ms
Durchschnittliche Verweildauer (20);478ms;651ms;304ms;1585ms;328ms;349ms;516ms;1217ms;533ms;571ms;393ms;22ms;569ms;349ms;794ms;472ms;640ms;310ms;918ms;495ms
Anzahl angeschauter Bilder (100);84;47;45;44;31;40;62;55;41;35;6;68;72;39;34;65;23;25;51;79
Anzahl Navigationen (100);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fixationen pro Bild (100);0.35 / 489ms;0.91 / 519ms;0.24 / 447ms;0.41 / 378ms;0.16 / 394ms;0.15 / 439ms;0.39 / 461ms;0.51 / 428ms;0.29 / 397ms;0.29 / 523ms;1.33 / 619ms;0.21 / 355ms;0.51 / 483ms;0.26 / 404ms;0.26 / 419ms;1.15 / 450ms;0.43 / 429ms;0.20 / 367ms;0.63 / 531ms;1.05 / 490ms
Durchschnittliche Verweildauer (100);169ms;475ms;109ms;155ms;64ms;66ms;178ms;218ms;116ms;149ms;825ms;73ms;248ms;104ms;111ms;520ms;187ms;73ms;333ms;515ms
